0,06596	-0,00337	3765698717,60011
0,07573	-0,00304	3765698717,60111
0,08484	-0,00662	3765698717,60211
0,09461	-0,00337	3765698717,60311
0,10307	-0,00337	3765698717,60411
0,11316	-0,00565	3765698717,60511
0,12260	0,00151	3765698717,60611
0,13172	0,00314	3765698717,60711
0,14213	0,00640	3765698717,60811
0,15092	0,00347	3765698717,60911
0,16069	0,00314	3765698717,61011
0,16882	0,00249	3765698717,61111
0,17826	0,01030	3765698717,61211
0,18705	0,00379	3765698717,61311
0,19812	0,00672	3765698717,61411
0,20658	-0,00044	3765698717,61511
0,21537	-0,00272	3765698717,61611
0,22611	-0,00142	3765698717,61711
0,23490	0,02560	3765698717,61811
0,24467	0,03960	3765698717,61911
0,25248	0,03374	3765698717,62011
0,26224	0,04318	3765698717,62111
0,27233	0,05815	3765698717,62211
0,28047	0,05620	3765698717,62311
0,29056	0,07085	3765698717,62411
0,29968	0,08029	3765698717,62511
0,30944	0,09428	3765698717,62611
0,31823	0,10795	3765698717,62711
0,32767	0,11544	3765698717,62811
0,33679	0,13172	3765698717,62911
0,34655	0,14246	3765698717,63011
0,35501	0,14767	3765698717,63111
0,36380	0,15711	3765698717,63211
0,37357	0,16752	3765698717,63311
0,38236	0,17240	3765698717,63411
0,39114	0,18087	3765698717,63511
0,40091	0,18803	3765698717,63611
0,40970	0,19161	3765698717,63711
0,41881	0,20105	3765698717,63811
0,42760	0,21081	3765698717,63911
0,43672	0,20886	3765698717,64011
0,44583	0,22546	3765698717,64111
0,45397	0,23067	3765698717,64211
0,46373	0,24369	3765698717,64311
0,47252	0,25671	3765698717,64411
0,48229	0,25866	3765698717,64511
0,48977	0,27429	3765698717,64611
0,49954	0,28470	3765698717,64711
0,50735	0,29284	3765698717,64811
0,51712	0,30358	3765698717,64911
0,52590	0,31237	3765698717,65011
0,53502	0,31302	3765698717,65111
0,54446	0,31530	3765698717,65211
0,55195	0,33255	3765698717,65311
0,56106	0,33516	3765698717,65411
0,56952	0,34362	3765698717,65511
0,57896	0,35176	3765698717,65611
0,58645	0,35729	3765698717,65711
0,59589	0,36478	3765698717,65811
0,60500	0,37357	3765698717,65911
0,61281	0,37650	3765698717,66011
0,62193	0,38301	3765698717,66111
0,62974	0,39733	3765698717,66211
0,63853	0,40384	3765698717,66311
0,64732	0,41393	3765698717,66411
0,65546	0,42011	3765698717,66511
0,66522	0,42760	3765698717,66611
0,67271	0,43346	3765698717,66711
0,68150	0,44127	3765698717,66811
0,68963	0,45136	3765698717,66911
0,69875	0,45332	3765698717,67011
0,70591	0,46276	3765698717,67111
0,71502	0,46862	3765698717,67211
0,72251	0,47578	3765698717,67311
0,73065	0,48261	3765698717,67411
0,73976	0,49433	3765698717,67511
0,74823	0,50051	3765698717,67611
0,75539	0,50735	3765698717,67711
0,76450	0,51288	3765698717,67811
0,77231	0,51972	3765698717,67911
0,77915	0,52818	3765698717,68011
0,78794	0,53307	3765698717,68111
0,79640	0,54478	3765698717,68211
0,80389	0,55097	3765698717,68311
0,81235	0,55650	3765698717,68411
0,81984	0,56269	3765698717,68511
0,82765	0,57343	3765698717,68611
0,83579	0,58059	3765698717,68711
0,84360	0,59035	3765698717,68811
0,85109	0,59166	3765698717,68911
0,85890	0,60077	3765698717,69011
0,86671	0,61281	3765698717,69111
0,87420	0,62616	3765698717,69211
0,88168	0,63918	3765698717,69311
0,88917	0,64244	3765698717,69411
0,89763	0,64895	3765698717,69511
0,90414	0,65611	3765698717,69611
0,91196	0,66132	3765698717,69711
0,91977	0,67141	3765698717,69811
0,92823	0,67954	3765698717,69911
0,93474	0,68410	3765698717,70011
0,94223	0,69094	3765698717,70111
0,94874	0,69582	3765698717,70211
0,95590	0,69940	3765698717,70311
0,96339	0,70754	3765698717,70411
0,97217	0,71730	3765698717,70511
0,97803	0,72446	3765698717,70611
0,98487	0,73097	3765698717,70711
0,99236	0,73716	3765698717,70811
0,99919	0,74204	3765698717,70911
1,00700	0,74725	3765698717,71011
1,01416	0,75799	3765698717,71111
1,02035	0,76580	3765698717,71211
1,02718	0,77036	3765698717,71311
1,03467	0,77687	3765698717,71411
1,04053	0,77947	3765698717,71511
1,04769	0,78761	3765698717,71611
1,05420	0,79315	3765698717,71711
1,06006	0,79477	3765698717,71811
1,06755	0,80389	3765698717,71911
1,07406	0,81105	3765698717,72011
1,08122	0,81463	3765698717,72111
1,08805	0,82505	3765698717,72211
1,09391	0,82960	3765698717,72311
1,10010	0,83481	3765698717,72411
1,10693	0,83937	3765698717,72511
1,11344	0,84685	3765698717,72611
1,11898	0,85369	3765698717,72711
1,12549	0,86020	3765698717,72811
1,13135	0,86476	3765698717,72911
1,13721	0,86638	3765698717,73011
1,14372	0,87713	3765698717,73111
1,14925	0,88168	3765698717,73211
1,15674	0,88624	3765698717,73311
1,16260	0,89177	3765698717,73411
1,16878	0,89796	3765698717,73511
1,17334	0,90284	3765698717,73611
1,18017	0,90935	3765698717,73711
1,18603	0,91293	3765698717,73811
1,19157	0,92172	3765698717,73911
1,19677	0,92205	3765698717,74011
1,20263	0,93246	3765698717,74111
1,20914	0,93832	3765698717,74211
1,21370	0,94809	3765698717,74311
1,22021	0,95199	3765698717,74411
1,22509	0,95590	3765698717,74511
1,23030	0,96143	3765698717,74611
1,23583	0,96632	3765698717,74711
