Timestamp,No. pulses, No. Test,R,Succes,dt_Ron,Amp_RonR,q,E_memristor,State
1681836794.759226, 0, 0, 19.49074742366791,False, 0.1, -2.5, -0.023839211506178112,0.030480564127662663,R_off
1681836796.9816554, 1, 0, 3.6410402733707388,True, 0.01, 1, 0.0013857313740236598,0.0003948877967518738,R_on
1681836799.200127, 0, 0, 19.399901332792115,False, 0.1, -2.5, -0.023447024460060757,0.03045294454237211,R_off
1681836801.4256933, 1, 1, 6.549474936064827,False, 0.01, 1, 0.0013569388838116955,0.00040679534489027454,Unknown
1681836803.6492567, 2, 1, 5.591237646426705,False, 0.01, 1, 0.001368377016001405,0.0004031478791473692,Unknown
1681836805.8628147, 3, 1, 5.397772009006933,False, 0.01, 1, 0.0013572259344178975,0.00040744374851543866,Unknown
1681836808.0834694, 4, 1, 5.111858161322872,False, 0.01, 1, 0.0013768455214649786,0.0003997567164536588,Unknown
1681836810.2935922, 5, 1, 5.284490808450845,False, 0.01, 1, 0.001365379661553754,0.00040429361192119835,Unknown
1681836812.5162995, 6, 1, 5.208795566062559,False, 0.01, 1, 0.0013862667770556036,0.0003956397310613924,Unknown
1681836814.725724, 7, 1, 5.335899577867322,False, 0.01, 1, 0.001372387284844832,0.00040171498253987044,Unknown
1681836816.943671, 8, 1, 5.251869908555118,False, 0.01, 1, 0.0013805201948372849,0.00039820461002937693,Unknown
1681836819.1562684, 9, 1, 4.801421366871416,True, 0.01, 1, 0.0013903330894720054,0.0003938480236233003,R_on
1681836821.3677726, 0, 1, 29.622802101933043,False, 0.1, -2.5, -0.02324320573486146,0.03039197713465739,R_off
1681836823.5854716, 1, 2, 5.943478388488345,False, 0.01, 1, 0.0013642823513707982,0.00040408274078576693,Unknown
1681836825.8087611, 2, 2, 5.071298344909763,False, 0.01, 1, 0.0013485642530748749,0.00041109961799623475,Unknown
1681836828.0243013, 3, 2, 4.743082848134262,True, 0.01, 1, 0.001354155077578231,0.0004086629563375194,R_on
1681836830.2448723, 0, 2, 32.28543175102044,False, 0.1, -2.5, -0.02287958684794941,0.03036364772253526,R_off
1681836832.44916, 1, 3, 6.043601607402655,False, 0.01, 1, 0.0013861769100555674,0.0003952681299937583,Unknown
1681836834.6590178, 2, 3, 5.008782127894947,False, 0.01, 1, 0.0014004325053786257,0.00038910978579345776,Unknown
1681836836.8719673, 3, 3, 4.832046529378084,True, 0.01, 1, 0.0013792205429966362,0.0003986121782343043,R_on
1681836839.0888524, 0, 3, 17.141513224583,False, 0.1, -2.5, -0.02356677143491509,0.030458269965425798,R_off
1681836841.2949557, 1, 4, 4.873899778687638,True, 0.01, 1, 0.0013692122565004622,0.0004025525423634353,R_on
1681836843.5133114, 0, 4, 17.444336556245837,False, 0.1, -2.5, -0.02381373920486443,0.03048690137175434,R_off
1681836845.7238898, 1, 5, 3.347335805511287,True, 0.01, 1, 0.001390279962001925,0.0003937635518419668,R_on
1681836847.9273007, 0, 5, 17.59226876133765,False, 0.1, -2.5, -0.023779820773748905,0.03048001888553185,R_off
1681836850.1360307, 1, 6, 4.2554007677063295,True, 0.01, 1, 0.0013946606399302835,0.00039050741353426717,R_on
1681836852.3415482, 0, 6, 18.395661741759582,False, 0.1, -2.5, -0.0242304654037076,0.030457456953971944,R_off
1681836854.5696163, 1, 7, 6.081845399252261,False, 0.01, 1, 0.001359616736024467,0.0004058576288038694,Unknown
1681836856.787667, 2, 7, 4.61218723565084,True, 0.01, 1, 0.0013607749457608385,0.00040585887684422526,R_on
1681836859.0047414, 0, 7, 32.486948320076834,False, 0.1, -2.5, -0.023483665360825037,0.030411462162111023,R_off
1681836861.2206266, 1, 8, 5.899708147745446,False, 0.01, 1, 0.001385600638010912,0.0003947460000479308,Unknown
