Timestamp,No. pulses, No. Test,R,Succes,dt_Ron,Amp_RonR,q,E_memristor,State
1681845988.5880563, 0, 0, 15.947544906242804,False, 0.1, -2.5, -0.032013716640130405,0.027573627864639266,R_off
1681845990.8058758, 1, 0, 1.0010628753382291,True, 0.1, 2, 0.03438685624668445,0.008320949969972295,R_on
1681845993.0206218, 0, 0, 16.308074485059436,False, 0.1, -2.5, -0.03191857979314364,0.027645318100546323,R_off
1681845995.2367957, 1, 1, 1.108885800409608,True, 0.1, 2, 0.034089846587787416,0.008766203049897878,R_on
1681845997.4589396, 0, 1, 16.323693129167893,False, 0.1, -2.5, -0.031866256791639846,0.02768287520920667,R_off
1681845999.6832175, 1, 2, 1.141856615278483,True, 0.1, 2, 0.03416782727367186,0.008648292909152856,R_on
1681846001.9049218, 0, 2, 15.758737715776507,False, 0.1, -2.5, -0.031873116645535375,0.027678898583482957,R_off
1681846004.1211305, 1, 3, 1.134297944936592,True, 0.1, 2, 0.034142784689743855,0.008683848071753632,R_on
1681846006.3400888, 0, 3, 17.34517536798935,False, 0.1, -2.5, -0.031813235072595356,0.027723768484003708,R_off
1681846008.5699785, 1, 4, 1.1337153306740706,True, 0.1, 2, 0.034492455730118686,0.008161917150231986,R_on
1681846010.7812505, 0, 4, 16.386458282947977,False, 0.1, -2.5, -0.03192384809102553,0.0276363396903906,R_off
1681846013.003063, 1, 5, 1.0823755590352315,True, 0.1, 2, 0.03443012943567812,0.008248128644596077,R_on
1681846015.2201502, 0, 5, 16.64841509788005,False, 0.1, -2.5, -0.031823045624081,0.02771302979758257,R_off
1681846017.4290168, 1, 6, 0.9792553983421424,True, 0.1, 2, 0.034238760709138887,0.008537843634251098,R_on
1681846019.645131, 0, 6, 16.653513209411827,False, 0.1, -2.5, -0.031748746335427035,0.027770598975279108,R_off
1681846021.8584595, 1, 7, 1.0147675551565678,True, 0.1, 2, 0.03413690929294866,0.008692656923228983,R_on
1681846024.0711405, 0, 7, 16.07428396542634,False, 0.1, -2.5, -0.03174019798205936,0.027780864816860734,R_off
1681846026.2953255, 1, 8, 1.0472524695258238,True, 0.1, 2, 0.03412598002600671,0.008708744566990893,R_on
