Timestamp,No. pulses, No. Test,R,Succes,dt_Ron,Amp_RonR,q,E_memristor,State
1681900044.233808, 0, 0, 1148.2963077285162,False, 0.1, -2.5, -0.00017391590117185,0.00042068373627122377,R_off
1681900046.4596767, 1, 0, 101.61441310154238,False, 0.05, 1, 0.0008824786515230216,0.0001422670645241188,Unknown
1681900048.6631908, 2, 0, 18.720677143844508,True, 0.05, 1, 0.0008822722732732941,0.00014251740621490535,R_on
1681900050.8731837, 0, 0, 150.46359995310445,False, 0.1, -2.5, -0.00015461167942089083,0.00037538370041876495,Unknown
1681900054.176287, 0, 0, 262.10332680252907,False, 0.1, -2.5, -0.00011088863619829798,0.00027188955715327977,R_off
1681900056.3931139, 1, 1, 23.53824153089889,True, 0.05, 1, 0.0008722832166069969,0.0001494034066213481,R_on
1681900058.6124918, 0, 1, 267.2213802461923,False, 0.1, -2.5, -9.058501094955278e-05,0.00022304366142352383,R_off
1681900060.8347824, 1, 2, 232.3713558028081,False, 0.05, 1, 0.0008768271863051832,0.00014641499333941957,R_off
1681900063.0457497, 2, 2, 27.99158659751384,True, 0.05, 1, 0.0008699305586439692,0.00015071771521013493,R_on
1681900065.2710433, 0, 2, 270.89002369257577,False, 0.1, -2.5, -0.0001322965642018813,0.0003227086050499145,R_off
1681900067.4723213, 1, 3, 98.99604587124688,True, 0.05, 1, 0.0008641355188628238,0.00015441803754349156,R_on
1681900069.6759434, 0, 3, 280.05844476602186,False, 0.1, -2.5, -0.00010976010110183294,0.00026929405839506363,R_off
1681900071.8855577, 1, 4, 27.00544944961431,True, 0.05, 1, 0.0008961671253865724,0.00013297026238350004,R_on
1681900074.0981328, 0, 4, 189.2094597688031,False, 0.1, -2.5, -0.00011291677360516651,0.0002761596508604739,Unknown
1681900077.4191883, 0, 4, 227.234504410269,False, 0.1, -2.5, -0.00010859963286519032,0.0002665016351132434,R_off
1681900079.6542418, 1, 5, 55.658358628392236,True, 0.05, 1, 0.0008729177347597772,0.00014894639132424816,R_on
1681900081.8810077, 0, 5, 322.5442044507664,False, 0.1, -2.5, -0.00010466270743925227,0.0002570951030974064,R_off
1681900084.0840628, 1, 6, 31.626579218006487,True, 0.05, 1, 0.0008693658610586688,0.0001510605077481802,R_on
1681900086.2861104, 0, 6, 626.5526133158451,False, 0.1, -2.5, -0.0001255844182404845,0.00030709661037886255,R_off
1681900088.505565, 1, 7, 37.4471042236427,True, 0.05, 1, 0.0008674970665685589,0.00015223678930984146,R_on
1681900090.72314, 0, 7, 194.49889601980232,False, 0.1, -2.5, -0.00014568273353769576,0.0003547405663756529,Unknown
1681900094.0316536, 0, 7, 112.06552832570247,False, 0.1, -2.5, -0.00014397648328096123,0.00035066368492008644,Unknown
1681900097.35224, 0, 7, 398.27788094637594,False, 0.1, -2.5, -0.0001042248256003448,0.00025575341761651223,R_off
1681900099.5709317, 1, 8, 54.60130416328634,True, 0.05, 1, 0.0008739992008500554,0.00014786778783443925,R_on
1681900101.7785966, 0, 8, 390.8755148542659,False, 0.1, -2.5, -0.00013758018118543034,0.00033547684853047215,R_off
1681900103.9876015, 1, 9, 13.799487064293618,True, 0.05, 1, 0.000872079144206848,0.00014920937910545637,R_on
1681900106.198683, 0, 9, 542.5063423802945,False, 0.1, -2.5, -0.0001534361087489174,0.00037296080558345995,R_off
1681900108.4177816, 1, 10, 24.41494572114839,True, 0.05, 1, 0.0008884028217510392,0.00013828214660932019,R_on
1681900110.6251614, 0, 10, 260.95666748141053,False, 0.1, -2.5, -0.0004732983479013406,0.0009448670851192468,R_off
1681900112.834975, 1, 11, 23.524626430300795,True, 0.05, 1, 0.0008906958387736371,0.00013639718040094875,R_on
1681900115.0572636, 0, 11, 319.0921691580083,False, 0.1, -2.5, -0.0012259490008552493,0.002234630272896271,R_off
1681900117.2632306, 1, 12, 23.254364942703866,True, 0.05, 1, 0.000873640462215256,0.00014857427959313717,R_on
1681900119.4710968, 0, 12, 218.81514183410698,False, 0.1, -2.5, -0.0009663766068731638,0.001970104667553415,R_off
1681900121.680348, 1, 13, 36.46012363724763,True, 0.05, 1, 0.000854934699456814,0.00016051584056739343,R_on
1681900123.8918648, 0, 13, 188.90397391007383,False, 0.1, -2.5, -0.0009065804093575109,0.0018747533942216161,Unknown
1681900127.2160337, 0, 13, 313.45132821832266,False, 0.1, -2.5, -0.0009621696496327637,0.001962491283449138,R_off
1681900129.4316924, 1, 14, 41.539730730377734,True, 0.05, 1, 0.0008609520141923202,0.00015665980030124668,R_on
1681900131.6493576, 0, 14, 92.6980519895827,False, 0.1, -2.5, -0.0007216079679898633,0.001551130111542775,R_on
1681900134.9635053, 0, 14, 106.99459304446536,False, 0.1, -2.5, -0.0007037736451918583,0.0015221873673538142,Unknown
1681900138.2855577, 0, 14, 125.81606260165745,False, 0.1, -2.5, -0.0003362714004728676,0.000787014197056346,Unknown
1681900141.5931323, 0, 14, 173.10342842243372,False, 0.1, -2.5, -7.10312128519382e-05,0.00017527049416079255,Unknown
1681900144.9099932, 0, 14, 105.48029421063283,False, 0.1, -2.5, -9.76820540238597e-05,0.00024034317732159072,Unknown
1681900148.246844, 0, 14, 203.64553666220988,False, 0.1, -2.5, -6.262652435280137e-05,0.00015486532280600425,R_off
1681900150.4531717, 1, 15, 29.578286828672205,True, 0.05, 1, 0.0008686438038523695,0.00015124312861989286,R_on
1681900152.6514804, 0, 15, 226.5375262545939,False, 0.1, -2.5, -3.946957571792739e-05,9.827196797003107e-05,R_off
1681900154.862447, 1, 16, 18.056170175711205,True, 0.05, 1, 0.0008806433908223536,0.00014364029861492277,R_on
1681900157.077693, 0, 16, 741.7172615756774,False, 0.1, -2.5, -4.158594949100702e-05,0.00010350643684258153,R_off
1681900159.294165, 1, 17, 66.2001265962351,True, 0.05, 1, 0.0008649840314441655,0.00015408088578213938,R_on
1681900161.51906, 0, 17, 665.3147013660955,False, 0.1, -2.5, -4.743000886033792e-05,0.00011785290932328496,R_off
1681900163.730617, 1, 18, 77.8598634721863,True, 0.05, 1, 0.0008917449977966828,0.00013574478060465883,R_on
1681900165.9331286, 0, 18, 668.2927912962157,False, 0.1, -2.5, -6.95436077067823e-05,0.00017208126035020166,R_off
1681900168.1487324, 1, 19, 112.8509888750307,False, 0.05, 1, 0.0008599596135625801,0.00015723173233553114,Unknown
1681900170.3594906, 2, 19, 16.84095345276021,True, 0.05, 1, 0.0008576461295090129,0.0001585220026388193,R_on
1681900172.5725217, 0, 19, 618.5496435290995,False, 0.1, -2.5, -7.320853328387608e-05,0.00018102737150103886,R_off
1681900174.7873542, 1, 20, 40.563158393827564,True, 0.05, 1, 0.0008659246079616008,0.00015317727069944826,R_on
1681900177.0015457, 0, 20, 908.1228620511382,False, 0.1, -2.5, -4.2342261871974404e-05,0.00010511370738042822,R_off
1681900179.2147813, 1, 21, 49.54868752461646,True, 0.05, 1, 0.0008851142442170688,0.00014046479723554928,R_on
1681900181.427219, 0, 21, 1440.3439023659494,False, 0.1, -2.5, -4.2494278766888916e-05,0.0001057474457774529,R_off
1681900183.6420898, 1, 22, 37.238211891222775,True, 0.05, 1, 0.00087374854784932,0.00014826646030758668,R_on
1681900185.8536868, 0, 22, 326.39468721134597,False, 0.1, -2.5, -6.744254379235519e-05,0.00016699326349703538,R_off
1681900188.0740407, 1, 23, 18.802420474786103,True, 0.05, 1, 0.0008533200182151315,0.0001614304552007679,R_on
1681900190.282866, 0, 23, 273.5449916504052,False, 0.1, -2.5, -7.280524046070436e-05,0.0001799866121524723,R_off
