Timestamp,No. pulses, No. Test,R,Succes,dt_Ron,Amp_RonR,q,E_memristor,State
1681773504.5597575, 0, 0, 81.19686665582644,False, 0.1, -2.5, -0.012911781535417858,0.023633529179607062,R_off
1681773506.7766309, 1, 0, 1.2593437374214684,True, 0.005, 2, 0.0016267434401876445,0.0004948742706608141,R_on
1681773508.9991677, 0, 0, 52.78188162322893,False, 0.1, -2.5, -0.012680906267795965,0.023344268878049558,R_off
1681773511.2154129, 1, 1, 1.4001935126923417,True, 0.005, 2, 0.0016106010598541827,0.0005174764363412882,R_on
1681773513.4332066, 0, 1, 32.641498458256336,False, 0.1, -2.5, -0.012736311938241197,0.023435734251824693,R_off
1681773515.6431396, 1, 2, 1.3297672029900722,True, 0.005, 2, 0.001616138895600734,0.0005099327254355957,R_on
1681773517.8481362, 0, 2, 22.79379830257959,False, 0.1, -2.5, -0.012652110121735151,0.023320238487153037,R_off
1681773520.062802, 1, 3, 1.1755468967668319,True, 0.005, 2, 0.0016342187638676397,0.0004849790053112993,R_on
1681773522.3089468, 0, 3, 41.27841700853137,False, 0.1, -2.5, -0.012894212187094814,0.023587729620684107,R_off
1681773524.5251002, 1, 4, 1.4251813980896975,True, 0.005, 2, 0.0016195252018942794,0.0005048084223094249,R_on
1681773526.7390811, 0, 4, 35.01051103379919,False, 0.1, -2.5, -0.01278447618687198,0.02346024451982741,R_off
1681773528.9603481, 1, 5, 1.4956135224131786,True, 0.005, 2, 0.001606633915035317,0.0005229272180154759,R_on
1681773531.1829286, 0, 5, 57.969822899375615,False, 0.1, -2.5, -0.012587035255266749,0.02322794560445194,R_off
1681773533.3884342, 1, 6, 1.3787270715315598,True, 0.005, 2, 0.0016357315567427845,0.0004827336932113512,R_on
1681773535.597793, 0, 6, 72.85219593086127,False, 0.1, -2.5, -0.012657419420376192,0.023322035226886306,R_off
1681773537.8156898, 1, 7, 1.5822649290064106,True, 0.005, 2, 0.001622845799629051,0.0005002200478407425,R_on
1681773540.0377245, 0, 7, 70.81388247564242,False, 0.1, -2.5, -0.012603128772395285,0.023244365595060896,R_off
1681773542.2493923, 1, 8, 1.5470552758181635,True, 0.005, 2, 0.0016195155618372891,0.0005050062046138352,R_on
1681773544.4690695, 0, 8, 40.7138395164628,False, 0.1, -2.5, -0.012956771397867276,0.02368877183491434,R_off
1681773546.6820865, 1, 9, 1.675678856670338,True, 0.005, 2, 0.001620576056366588,0.000503669450209996,R_on
