Timestamp,No. pulses, No. Test,R,Succes,dt_Ron,Amp_RonR,q,E_memristor,State
1682080932.5601575, 0, 0, 697.4865142693538,False, 0.1, -2.5, -0.0003934642728886911,0.0008982512246115315,R_off
1682080934.7868412, 1, 0, 9.535458624589108,True, 0.05, 1.5, 0.0014009660526276614,0.00023725310066971685,R_on
1682080937.0135326, 0, 0, 445.2799693368262,False, 0.1, -2.5, -0.0005229713683154713,0.0011758415890600008,R_off
1682080939.2247906, 1, 1, 12.897794299660399,True, 0.05, 1.5, 0.001399852513392928,0.00023604361415199103,R_on
1682080941.4343858, 0, 1, 75.17689822758403,False, 0.1, -2.5, -0.0005611406378440374,0.001251751621721304,R_on
1682080944.762481, 0, 1, 679.7499763179776,False, 0.1, -2.5, -0.0005975076284911198,0.0013238912972348442,R_off
1682080946.9744184, 1, 2, 8.783048252102482,True, 0.05, 1.5, 0.0013977432951067627,0.0002384310454753719,R_on
1682080949.1856933, 0, 2, 676.4194054886202,False, 0.1, -2.5, -0.0006276976806295141,0.0013802017521120221,R_off
1682080951.406381, 1, 3, 8.912538437652694,True, 0.05, 1.5, 0.0014126566003109615,0.00022126403930244375,R_on
1682080953.6286876, 0, 3, 788.4205225887417,False, 0.1, -2.5, -0.0004671540222140362,0.001044386717758751,R_off
1682080955.8451428, 1, 4, 10.632582045037552,True, 0.05, 1.5, 0.0013940804215572932,0.00024279363759387537,R_on
1682080958.053401, 0, 4, 539.3050863431995,False, 0.1, -2.5, -0.0006062186488706996,0.001340445727100019,R_off
1682080960.2779903, 1, 5, 9.367257240461882,True, 0.05, 1.5, 0.0014047061351828718,0.00023049213643170694,R_on
1682080962.4899852, 0, 5, 234.2646755921222,False, 0.1, -2.5, -0.0005836972771077714,0.0012962287763653897,R_off
1682080964.7029655, 1, 6, 8.691632156218212,True, 0.05, 1.5, 0.0014025784032626692,0.0002326900457056723,R_on
1682080966.9136858, 0, 6, 345.6142686569535,False, 0.1, -2.5, -0.0005441032598671263,0.0012188236135578577,R_off
1682080969.1388862, 1, 7, 10.311733186096081,True, 0.05, 1.5, 0.0013820814985113594,0.00025627772669423513,R_on
1682080971.3560436, 0, 7, 563.2418909365176,False, 0.1, -2.5, -0.000653741921941931,0.0014302947926288835,R_off
1682080973.566063, 1, 8, 8.809378724510777,True, 0.05, 1.5, 0.0014090811681098919,0.00022538689093676116,R_on
1682080975.7808874, 0, 8, 554.1241865401117,False, 0.1, -2.5, -0.000619171524352943,0.0013629215748089956,R_off
1682080978.0069423, 1, 9, 8.390324699794379,True, 0.05, 1.5, 0.0014014938783223857,0.0002340717474930137,R_on
1682080980.2143474, 0, 9, 440.45092336186485,False, 0.1, -2.5, -0.0006258944771286355,0.0013753617993656298,R_off
1682080982.431034, 1, 10, 7.744943942805423,True, 0.05, 1.5, 0.0014211593134346215,0.0002110672651757065,R_on
1682080984.6335397, 0, 10, 235.72949946376286,False, 0.1, -2.5, -0.0005781273106837915,0.0012840707356392002,R_off
1682080986.849089, 1, 11, 9.044114018796654,True, 0.05, 1.5, 0.0014067978284223498,0.00022799897771541553,R_on
1682080989.0603945, 0, 11, 406.46281273968833,False, 0.1, -2.5, -0.0004887410410027186,0.0011078923733085604,R_off
1682080991.2808757, 1, 12, 8.189602935020009,True, 0.05, 1.5, 0.0013893153778986827,0.00024821343706212467,R_on
1682080993.493183, 0, 12, 354.0180189140753,False, 0.1, -2.5, -0.0005364896334946149,0.0012038416238627217,R_off
1682080995.7122018, 1, 13, 8.963822891879085,True, 0.05, 1.5, 0.0013975501591311553,0.00023845711377471922,R_on
1682080997.9303305, 0, 13, 162.8864454931817,False, 0.1, -2.5, -0.000505407507266707,0.0011375636790486776,Unknown
1682081001.2451587, 0, 13, 724.405368826007,False, 0.1, -2.5, -0.000536325012089781,0.0012032456909281137,R_off
1682081003.4622786, 1, 14, 10.23789523031208,True, 0.05, 1.5, 0.0013972045084627493,0.0002392305225624216,R_on
1682081005.6800253, 0, 14, 240.47628741381178,False, 0.1, -2.5, -0.00040684039213076135,0.0009378755346896998,R_off
1682081007.8955233, 1, 15, 8.543835597167854,True, 0.05, 1.5, 0.001399251627678625,0.00023652370272720334,R_on
1682081010.1235938, 0, 15, 2192.027276345023,False, 0.1, -2.5, -0.0005295424147562057,0.0011899228355979228,R_off
1682081012.3427453, 1, 16, 13.760861519184925,True, 0.05, 1.5, 0.0013989190391561143,0.00023718980884579992,R_on
1682081014.5636184, 0, 16, 2279.3912009166934,False, 0.1, -2.5, -0.0005863680812261133,0.0013017441137499067,R_off
1682081016.7780435, 1, 17, 9.829366181411816,True, 0.05, 1.5, 0.001393726464346418,0.00024342328725682585,R_on
1682081018.9903865, 0, 17, 398.3374611376195,False, 0.1, -2.5, -0.0006253603225736396,0.001376053007555337,R_off
1682081021.1943872, 1, 18, 15.423245568228149,True, 0.05, 1.5, 0.001380778686484688,0.00025781795674691946,R_on
1682081023.415912, 0, 18, 312.52031675237316,False, 0.1, -2.5, -0.0004794886530953402,0.0010895499487287017,R_off
1682081025.636867, 1, 19, 10.037224345817286,True, 0.05, 1.5, 0.0013866575431633642,0.0002511811865372959,R_on
1682081027.8555443, 0, 19, 324441.252068902,False, 0.1, -2.5, -0.0005820856802772386,0.0012930721813795083,R_off
1682081030.0641756, 1, 20, 11.795359502010994,True, 0.05, 1.5, 0.0013590642912525268,0.0002820335803071864,R_on
1682081032.2750666, 0, 20, 977.3511027430529,False, 0.1, -2.5, -0.0006280507592033356,0.0013801321622933026,R_off
